ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Total de puntos;Comentarios del cuestionario;Hora de publicación de la calificación;Sexo;Puntos: Sexo;Comentarios: Sexo;Año de nacimiento;Puntos: Año de nacimiento;Comentarios: Año de nacimiento;Lugar de residencia (Código Postal);Puntos: Lugar de residencia (Código Postal);Comentarios: Lugar de residencia (Código Postal);¿Dónde has visto publicidad relacionada con apuestas?;Puntos: ¿Dónde has visto publicidad relacionada con apuestas?;Comentarios: ¿Dónde has visto publicidad relacionada con apuestas?;¿Hay alguna casa de apuestas en tu camino habitual?;Puntos: ¿Hay alguna casa de apuestas en tu camino habitual?;Comentarios: ¿Hay alguna casa de apuestas en tu camino habitual?;¿Conoces algún lugar donde apostar en tu pueblo?;Puntos: ¿Conoces algún lugar donde apostar en tu pueblo?;Comentarios: ¿Conoces algún lugar donde apostar en tu pueblo?;¿Cuántos días apuestas a la semana físicamente?;Puntos: ¿Cuántos días apuestas a la semana físicamente?;Comentarios: ¿Cuántos días apuestas a la semana físicamente?;¿Qué app utilizas para apostar de forma online?;Puntos: ¿Qué app utilizas para apostar de forma online?;Comentarios: ¿Qué app utilizas para apostar de forma online?;¿Cuántos días a la semana apuestas online?;Puntos: ¿Cuántos días a la semana apuestas online?;Comentarios: ¿Cuántos días a la semana apuestas online?;¿Has apostado alguna vez?;Puntos: ¿Has apostado alguna vez?;Comentarios: ¿Has apostado alguna vez?;¿A qué apuestas, ya sea online o físicamente?;Puntos: ¿A qué apuestas, ya sea online o físicamente?;Comentarios: ¿A qué apuestas, ya sea online o físicamente?;¿Hasta ahora, consideras que has ganado o perdido dinero apostando?;Puntos: ¿Hasta ahora, consideras que has ganado o perdido dinero apostando?;Comentarios: ¿Hasta ahora, consideras que has ganado o perdido dinero apostando?;¿Cómo ha influido la pandemia sobre tus hábitos de apostar?;Puntos: ¿Cómo ha influido la pandemia sobre tus hábitos de apostar?;Comentarios: ¿Cómo ha influido la pandemia sobre tus hábitos de apostar?;¿Cuánto dinero tienes pensado apostar la próxima semana?;Puntos: ¿Cuánto dinero tienes pensado apostar la próxima semana?;Comentarios: ¿Cuánto dinero tienes pensado apostar la próxima semana?
13;12/10/20 17:21:54;12/10/20 17:23:25;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;Por las calles;En la televisión;En equipajes deportivos;";;;Sí;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, así que nada;;;Sigo sin apostar, al igual que antes;;;0;;
14;12/10/20 17:22:54;12/10/20 17:26:09;anonymous;;;;;Hombre;;;2002;;;46780;;;"En equipajes deportivos;En la radio;En la televisión;En Internet;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;2;;;"Bet365;";;;0;;;Sí;;;"Fútbol;";;;He ganado;;;Ahora apuesto más que antes;;;5;;
15;12/10/20 17:26:31;12/10/20 17:29:23;anonymous;;;;;Hombre;;;2002;;;40006;;;"En Internet;En la televisión;En equipajes deportivos;";;;No;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;";;;2;;;"No apuesto de forma online;";;;0;;;Sí;;;"Fútbol;";;;He ganado;;;Ahora apuesto más que antes;;;0;;
16;12/10/20 17:28:31;12/10/20 17:30:40;anonymous;;;;;Hombre;;;2002;;;46007;;;"Por las calles;En Internet;En la televisión;En equipajes deportivos;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, así que nada;;;Sigo sin apostar, al igual que antes;;;0;;
17;12/10/20 17:41:02;12/10/20 17:48:55;anonymous;;;;;Hombre;;;2002;;;46780;;;"En la televisión;En equipajes deportivos;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, así que nada;;;Sigo sin apostar, al igual que antes;;;0;;
18;12/10/20 17:59:43;12/10/20 18:01:17;anonymous;;;;;Mujer;;;2002;;;31200;;;"En Internet;En la televisión;En equipajes deportivos;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;3;;;"No apuesto de forma online;";;;0;;;Sí;;;"Fútbol;";;;He ganado;;;He empezado a apostar;;;0;;
19;12/10/20 18:04:09;12/10/20 18:08:48;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;En la televisión;En equipajes deportivos;";;;Sí;;;"No;";;;1;;;"No apuesto de forma online;";;;0;;;Sí;;;"Ruleta;";;;Prácticamente me he quedado igual (+- 3€);;;Ahora apuesto menos que antes;;;2;;
20;12/10/20 18:25:07;12/10/20 18:27:30;anonymous;;;;;Hombre;;;2002;;;31200;;;"Nunca he visto publicidad sobre este tema;";;;Sí;;;"Sí, en un bar con máquina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;Sí;;;"Fútbol;Tenis;";;;He ganado;;;Ahora apuesto menos que antes;;;0;;
21;12/10/20 20:08:37;12/10/20 20:10:20;anonymous;;;;;Hombre;;;2002;;;46780;;;"Por las calles;En Internet;En la televisión;En la radio;En equipajes deportivos;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;1;;;"Bet365;Codere;Bwin;William Hill;";;;3;;;Sí;;;"Fútbol;Básket;Tenis;";;;Prácticamente me he quedado igual (+- 3€);;;Ahora apuesto menos que antes;;;2;;
22;12/10/20 20:19:15;12/10/20 20:23:06;anonymous;;;;;Otro;;;2002;;;31200;;;"En la televisión;En Internet;En la radio;En equipajes deportivos;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Pocker;";;;No apuesto, así que nada;;;Sigo sin apostar, al igual que antes;;;0;;
23;12/10/20 21:25:49;12/10/20 21:30:11;anonymous;;;;;Mujer;;;2002;;;46015;;;"En la televisión;En Internet;En equipajes deportivos;";;;No;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;Sí;;;"No apuesto;";;;He ganado;;;Sigo sin apostar, al igual que antes;;;0;;
24;12/11/20 20:46:03;12/11/20 20:47:01;anonymous;;;;;Hombre;;;2002;;;46780;;;"Nunca he visto publicidad sobre este tema;En Internet;En la radio;";;;No;;;"No;Sí, en una casa de apuestas;";;;4;;;"No apuesto de forma online;William Hill;Sportium;";;;4;;;No;;;"No apuesto;Tenis;Otras competiciones deportivas;Otros Juegos;";;;He perdido;;;Ahora apuesto menos que antes;;;45;;
25;12/11/20 20:48:32;12/11/20 20:49:09;anonymous;;;;;Hombre;;;2002;;;46780;;;"Nunca he visto publicidad sobre este tema;En Internet;En la radio;";;;No;;;"No;Sí, en una casa de apuestas;";;;4;;;"No apuesto de forma online;Bwin;BetFair;";;;1;;;No;;;"No apuesto;Tenis Mesa;Pocker;";;;No apuesto, así que nada;;;He dejado de apostar;;;5;;
26;12/11/20 23:21:18;12/11/20 23:25:56;anonymous;;;;;Hombre;;;1968;;;46780;;;"En la televisión;";;;Sí;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"No apuesto;";;;No apuesto, así que nada;;;Sigo sin apostar, al igual que antes;;;0;;

